drugbank_id	selleck_id
DB06414	etravirine-tmc125
DB06589	Pazopanib-Hydrochloride
DB06589	pazopanib
DB06594	Agomelatine
DB06605	Apixaban(BMS-562247-01)
DB06614	peramivir
DB06614	peramivir-trihydrate
DB06616	Bosutinib
DB06623	Flupirtine-maleate
DB06694	xylometazoline-hcl
DB06695	BIBR-1048(Dabigatran-etexilate)
DB06697	Artemether(SM-224)
DB06698	betahistine-dihydrochloride
DB06700	desvenlafaxine
DB06700	desvenlafaxine-succinate
DB06702	Fesoterodine-fumarate-Toviaz
DB06711	Naphazoline-hydrochloride-Naphcon
DB06712	nilvadipine-arc029
DB06715	Potassium-iodide
DB06717	fosaprepitant
DB06730	Gestodene
DB06743	ginkgolide-a
DB06744	Ginkgolide-B
DB06771	besifloxacin-hci
DB06772	cabazitaxel-jevtana
DB06777	Chenodeoxycholic-acid
DB06777	Ursodiol(Actigal)
DB06802	Nepafenac
DB06803	niclosamide-niclocide
DB06809	plerixafor
DB06809	plerixafor-8hcl-db06809
DB06813	Pralatrexate(Folotyn)
DB06817	Raltegravir-(MK-0518)
DB06836	PIK-93
DB06852	chir-124
DB06969	NVP-BEP800
DB06999	PLX-4720
DB07101	PD-0325901
DB07118	4-Methylumbelliferone(4-MU)
DB07159	R406
DB07159	R406(free-base)
DB07191	etravirine-tmc125
DB07232	ABT-888
DB07238	hcv-796
DB07352	Apigenin
DB07361	SNS-314
DB07423	Andarine
DB07460	nvp-tae226
DB07465	Saxagliptin(Onglyza)
DB07467	Indapamide(Lozol)
DB07475	Bortezomib
DB07503	as-604850
DB07615	Tranilast
DB07662	pd168393
DB07701	Donepezil-hydrochloride(Aricept)
DB07702	Estriol(Oestriol)
DB07705	Econazole-nitrate-Spectazole
DB07715	Emodin
DB07767	Fumalic-acid(Ferulic-acid)
DB07795	Fisetin(Fustel)
DB07810	Phloretin(Dihydronaringenin)
DB07859	AT7867
DB07863	gw9662
DB07886	Hydrocortisone
DB07931	Hexestrol(Bibenzyl)
DB07933	LY500307
DB07941	ph-797804
DB07995	H-89-dihydrochloride
DB08046	chlorthalidone-chlortalidone
DB08052	PP121
DB08059	wortmannin
DB08067	AT9283
DB08079	AMG-208
DB08094	r547
DB08142	AT7519
DB08150	cct128930
DB08162	Fasudil-HCl(HA-1077)
DB08183	CP-690550
DB08183	tofacitinib-cp-690550
DB08312	nu6027
DB08313	nocodazole
DB08348	pj34
DB08387	pf-2545920
DB08399	piceatannol
DB08468	Ellagic-acid
DB08472	Fluoxetine-hydrochloride
DB08477	Rivaroxaban
DB08521	SB-203580
DB08544	Fluoxetine-hydrochloride
DB08567	sertraline-hcl
DB08568	a-674563
DB08584	SGX-523
DB08621	thiamphenicol-thiophenicol
DB08639	dapivirine
DB08645	Trichlormethiazide(Achletin)
DB08700	PF-2341066
DB08756	Y-27632
DB08764	Vandetanib
DB08806	roxatidine-acetate-hcl
DB08815	lurasidone-hcl
DB08816	ticagrelor
DB08820	VX-770
DB08822	azilsartan-medoxomil-tak-491
DB08826	deferiprone
DB08828	GDC-0449
DB08836	temocapril
DB08836	temocapril-hcl
DB08846	Ellagic-acid
DB08860	Pitavastatin-calcium(Livalo)
DB08865	PF-2341066
DB08866	Dienogest
DB08866	estradiol-valerate
DB08868	FTY720
DB08877	INCB18424
DB08877	s-ruxolitinib
DB08881	PLX-4032
DB08882	linagliptin-bi-1356
DB08889	carfilzomib-pr-171
DB08893	mirabegron-ym178
DB08896	BAY-73-4506
DB08897	aclidinium-bromide
DB08899	MDV3100
DB08901	AP24534
DB08905	Formestane
DB08907	canagliflozin
DB08910	Pomalidomide(CC-4047)
DB08911	gsk1120212-(jtp-74057)
DB08912	dabrafenib-gsk2118436a
DB08916	BIBW2992
DB08918	milnacipran-hydrochloride
DB08930	s-gsk1349572
DB08932	macitentan
DB08943	Isoconazole-nitrate-Travogen
DB08959	Hexestrol(Bibenzyl)
DB08960	hexamethonium-bromide
DB08972	flumequine
DB08974	flubendazole-flutelmium
DB08990	eprazinone-2hcl
DB08995	Diosmin
DB09009	articaine-hydrochloride
DB09010	Carmofur
DB09019	bromhexine-hydrochloride
DB09020	bisacodyl
DB09028	Cytisine(Baphitoxine,-Sophorine)
