type	drugbank_id	name	cal_logp	cal_logs	cal_water_solubility	cal_molecular_weight	cal_polar_surface_area	cal_refractivity	cal_polarizability	cal_rotatable_bond_count	cal_h_bond_acceptor_count	cal_h_bond_donor_count	cal_pka_acidic	cal_pka_basic	cal_physiological_charge	cal_number_of_rings	cal_bioavailability	cal_rule_of_five	exp_molecular_weight	exp_logp	exp_pka	half_life
small molecule	DB02513	5-Methyl-2-(1-Methylethyl)Phenol	3.16	-2.4	6.43e-01 g/l	150.2176	20.23	47.27	17.84	1	1	1	10.59	-5.2	0	1	1	true		3.30	10.6 (at 20 °C)	
small molecule	DB02514	(2z)-3-{[Oxido(Oxo)Phosphino]Oxy}-2-Phenylacrylate	0.76	-3.1	2.10e-01 g/l	225.1147	83.5	63.07	18.58	4	4	0	3.1		-1	1	1	true				
small molecule	DB02515	3-Phosphoglycerol	-1.8	-0.75	3.06e+01 g/l	172.0737	107.22	31.39	13.58	4	5	4	1.51	-3	-2	0	1	true				
small molecule	DB02516	O5'-(4-(3-{2-[2-((R)-3-Hydroxy-4-(Trimethylammonio)-1-Oxo-Butyl)Sulfanyl-Ethylcarbamoyl]-Ethylcarbamoyl}-(R)-3-Hydroxy-2,2-Dimethyl-Propyl)-1-Hydroxy-3-Oxido-1,3-Dioxo-2,4-Dioxa-1,3-Diphosphabut-1-Yl) 3'-Phospho-Adenosine	-1.5	-2.4	3.51e+00 g/l	910.718	386.69	211.09	83.96	24	18	9	0.83	4.95	-3	3	0					
small molecule	DB02517	D-Glutamic Acid	-3.5	-0.26	8.06e+01 g/l	147.1293	100.62	31.29	13.49	4	5	3	1.88	9.54	-1	0	1	true				
small molecule	DB02518	N-Acetylalanine	-0.53	-0.48	4.36e+01 g/l	131.1299	66.4	29.94	12.53	2	3	2	3.89	-1.5	-1	0	1	true				
small molecule	DB02519	Indirubin-5-Sulphonate	0.73	-3.7	6.39e-02 g/l	342.326	112.57	89.62	32.97	1	6	3	-2.1	-2.8	-1	4	1	true				
small molecule	DB02520	Diethylcarbamodithioic Acid	3.1	-2.9	1.86e-01 g/l	149.278	3.24	45.02	16.14	2	0	1	2		-1	0	1	true				
small molecule	DB02521	2,5,7-Trihydroxynaphthoquinone	1.33	-1.9	2.40e+00 g/l	206.1516	94.83	52.11	18.31	0	5	3	7.12	-4.5	0	2	1	true				
small molecule	DB02522	Phosphonopyruvate	-1.9	-0.95	1.88e+01 g/l	168.042	111.9	28.98	11.91	3	6	3	1.64	-10	-2	0	1	true				
small molecule	DB02523	5'-[[2-(Aminooxy)Ethyl]Methylsulfonio]-5'-Deoxy-Adenosine	0.43	-2.3	1.96e+00 g/l	357.409	154.56	88.11	35.88	6	9	4	12.44	5.08	1	3	1	true				
small molecule	DB02524	Spiro(2,4,6-Trinitrobenzene[1,2a]-2o',3o'-Methylene-Adenine-Triphosphate	0.16	-2.4	3.22e+00 g/l	717.2617	400.58	149.05	53.94	10	21	5	0.89	5	-4	5	0					
small molecule	DB02525	D-Galactohydroximo-1,5-Lactam	-2.6	-0.34	8.84e+01 g/l	192.1699	125.54	40.55	17.53	1	7	6	9.57	0.6	0	1	1					
small molecule	DB02526	CRA_10655	1.14	-4.9	4.88e-03 g/l	336.3877	112.58	127.95	37.45	4	4	3	9.14	10.6	1	4	1	true				
small molecule	DB02527	Cyclic Adenosine Monophosphate	-2.3	-2	3.58e+00 g/l	329.2059	154.84	70.29	28.21	1	8	3	1.83	4.99	-1	4	1	true		-2.96		
small molecule	DB02528	Tetrazolyl Histidine	-0.99	-1.6	4.97e+00 g/l	206.1847	112.47	65.58	19.05	4	7	1	15.95	7.45	1	2	1	true				
small molecule	DB02529	5-N-Acetyl-4-Amino-6-Diethylcarboxamide-4,5-Dihydro-2h-Pyran-2-Carboxylic Acid	-0.93	-0.86	4.13e+01 g/l	301.3388	121.96	73.37	30.69	5	6	3	3.63	9.1	0	1	1	true				
small molecule	DB02530	Gamma(Amino)-Butyric Acid	-3	0.55	3.65e+02 g/l	103.1198	63.32	25.46	10.62	3	3	2	4.53	10.22	0	0	1	true				
small molecule	DB02531	Isobutyric Acid	0.78	0.35	1.97e+02 g/l	88.1051	37.3	21.85	9.12	1	2	1	4.87		-1	0	1	true		0.94	4.84 (at 20 °C)	
small molecule	DB02532	2,4,6-Triaminoquinazoline	-0.27	-1.5	5.51e+00 g/l	175.1906	103.84	53.16	17.77	0	5	3	18.65	7.43	1	2	1	true				
small molecule	DB02533	Aminoguanidine	-1.8	-0.95	8.36e+00 g/l	74.0851	87.92	40.84	6.88	0	4	4		12.01	1	0	1	true				
small molecule	DB02534	2-Allylphenol	2.4	-1.6	3.06e+00 g/l	134.1751	20.23	42.33	14.83	2	1	1	9.33	-6	0	1	1	true				
small molecule	DB02535	Aminodi(Ethyloxy)Ethylaminocarbonylbenzenesulfonamide	-0.51	-2.5	1.15e+00 g/l	331.388	133.74	82.23	35.17	10	6	3	10.07	9.33	1	1	1	true				
small molecule	DB02536	(2r)-2,3-Dihydroxypropanal	-1.6	0.96	8.14e+02 g/l	90.0779	57.53	19.46	8.05	2	3	2	12.8	-3	0	0	1	true				
small molecule	DB02537	2-Hydroxy-5-({1-[(4-Methylphenoxy)Methyl]-3-Oxoprop-1-Enyl}Amino)-L-Tyrosine	-0.37	-4	3.42e-02 g/l	386.3985	142.11	106.02	40.47	9	8	5	1.69	8.84	0	2	1	true				
small molecule	DB02538	N-[4-(2-Methylimidazo[1,2-a]Pyridin-3-Yl)-2-Pyrimidinyl]Acetamide	2.01	-3.9	3.71e-02 g/l	267.2859	72.18	76.64	28.3	2	4	1	12.02	5.39	0	3	1	true				
small molecule	DB02539	S-Ethylisothiourea	0.03	-1.3	4.77e+00 g/l	104.174	49.87	39.78	10.96	2	2	2		10.59	1	0	1	true				
small molecule	DB02540	(10S)-10-Formyl-5,8,10-Trideazafolic Acid	0.73	-4.1	3.92e-02 g/l	482.4428	208.48	122.11	46.33	10	10	6	2.75	5.23	-3	3	0					
small molecule	DB02541	4-Hydroxybutan-1-Aminium	-2.5	-0.72	2.41e+01 g/l	90.1442	47.87	37.01	10.96	3	1	2	15.97	9.9	1	0	1	true				
small molecule	DB02542	(4s)-5-Fluoro-L-Leucine	-2.4	-0.38	6.20e+01 g/l	149.1634	63.32	34.33	14.42	4	3	2	2.52	9.52	0	0	1	true				
small molecule	DB02543	Pyrrole-2-Carboxylate	0.34	0.69	6.21e+02 g/l	109.0828	53.02	37.28	9.47	1	3	0	1.75	5.14	-1	1	1	true				
small molecule	DB02544	N-(6-{[3-(4-Bromophenyl)-1,2-Benzisothiazol-6-Yl]Oxy}Hexyl)-N-Methylprop-2-En-1-Amine	6.6	-5.9	6.02e-04 g/l	459.442	25.36	122.98	49.1	11	3	0		9.42	1	3	0					
small molecule	DB02545	Fexaramine	6.54	-6.3	2.33e-04 g/l	496.6398	49.85	151.19	57.45	9	3	0		4.82	0	4	1					
small molecule	DB02546	Vorinostat	1.88	-3.6	7.16e-02 g/l	264.3202	78.43	73.81	28.39	8	3	3	8.91	-3.5	0	1	1	true			9.2	2 hours
small molecule	DB02547	Guanosine-5'-Diphosphate-Rhamnose	-1.7	-1.9	7.04e+00 g/l	589.3417	307.2	116.97	50.2	8	15	9	1.93	1.31	-2	4	0					
small molecule	DB02548	Sorbitol 6-phosphate	-2.3	-0.99	2.66e+01 g/l	262.1517	167.91	49.28	21.66	7	8	7	1.49	-3	-2	0	1					
small molecule	DB02549	3'-O-Acetylthymidine-5'-Diphosphate	-0.41	-1.9	5.43e+00 g/l	444.225	198.23	86.31	36.47	8	9	4	1.77	-4.2	-2	2	1	true				
small molecule	DB02550	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine	3.86	-4.3	2.00e-02 g/l	433.864	97.31	112.65	43.11	8	7	1	17.67	0.99	0	3	1	true				
small molecule	DB02551	6-[N-(4-Ethyl-1,2,3,4-Tetrahydro-6-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine	2.53	-4.8	5.38e-03 g/l	372.4629	91	125.34	42.89	4	4	4	12.15	11.23	2	4	1	true				
small molecule	DB02552	Geranyl Diphosphate	1.63	-2.5	9.02e-01 g/l	314.2091	113.29	72.93	28.52	8	5	3	1.77		-2	0	1	true				
small molecule	DB02553	Glutathionylspermidine Disulfide	-3.7	-4.1	7.47e-02 g/l	867.092	377.34	220.19	94.17	37	16	14	1.44	10.99	4	0	0					
small molecule	DB02554	Sulfoquinovose-Uridine-C1,5'-Diphosphate	-1.2	-1.4	2.45e+01 g/l	630.366	325.68	114.85	51.32	10	16	9	-1.3	-3.7	-3	3	0					
small molecule	DB02555	SP4160	4.72	-5	6.16e-03 g/l	685.644	169.96	194.97	72.99	12	8	4	12.8	10.6	1	4	0					
small molecule	DB02556	D-Phenylalanine	-1.4	-1.6	4.14e+00 g/l	165.1891	63.32	45.12	17.13	3	3	2	2.47	9.45	0	1	1	true				
small molecule	DB02557	Phosphoramidon	-0.04	-2.8	8.39e-01 g/l	542.496	207.77	127.43	51.59	11	10	7	2.48	5.19	-2	3	0					
small molecule	DB02558	N-(3-Phenyl-2-Sulfanylpropanoyl)Phenylalanylalanine	2.94	-4.8	7.12e-03 g/l	400.491	95.5	108.8	41.48	9	4	4	3.85	-3.9	-1	2	1	true				
small molecule	DB02559	6-(Octahydro-1h-Indol-1-Ylmethyl)Decahydroquinazoline-2,4-Diamine	0.33	-2.9	4.15e-01 g/l	307.4774	79.34	89.02	36.58	2	5	4		11.12	2	4	1	true				
small molecule	DB02560	D-Para-Chlorophenyl-1-Acteamidoboronic Acid Alanine	-1.8	-3.1	2.58e-01 g/l	345.564	142.11	78.05	33.8	8	7	5	1.69	8.34	-1	1	1	true				
small molecule	DB02561	Beta-D-Fructopyranose	-2.5	0.82	1.19e+03 g/l	180.1559	110.38	36.36	16.02	1	6	5	10.29	-3.5	0	1	1	true				
small molecule	DB02562	Quinonoid 7,8-Tetrahydrobiopterin	-1.4	-2.2	1.42e+00 g/l	239.2312	132.66	57.03	22.98	2	8	4	13.3	3.47	0	2	1	true				
small molecule	DB02563	Hexanoyl-Coenzyme A	0.07	-2.4	3.67e+00 g/l	865.677	363.63	190.64	79.56	24	17	9	0.83	4.95	-4	3	0					
small molecule	DB02565	4-Dimethylamino-N-(6-Hydroxycarbamoyethyl)Benzamide-N-Hydroxy-7-(4-Dimethyla Minobenzoyl)Aminoheptanamide	2.6	-3.1	2.20e-01 g/l	307.388	82	86.79	35.16	10	4	2	11.74	3.49	0	1	1	true				
small molecule	DB02566	8-Hydroxy-4-(1-Hydroxyethyl)Quinoline-2-Carboxylic Acid	0.31	-1.9	2.99e+00 g/l	235.2359	90.65	61.69	23.66	2	5	3	0.99	4.63	-1	2	1	true				
small molecule	DB02567	PD173955	5.09	-5.9	6.16e-04 g/l	443.349	58.12	120.63	45.05	3	4	1	12.99	1.51	0	4	1					
small molecule	DB02568	Peldesine	0.54	-3.3	1.21e-01 g/l	241.2486	96.16	67.97	23.91	2	5	3	10.49	5.39	0	3	1	true				
small molecule	DB02569	2',3'-Dehydro-2',3'-Deoxy-Thymidine 5'-Diphosphate	-0.2	-1.9	4.53e+00 g/l	384.1731	171.93	77.06	30.35	6	8	4	1.77	-4.2	-2	2	1	true				
small molecule	DB02570	PD150606	3.24	-3.8	4.48e-02 g/l	308.136	37.3	62.95	24.21	3	2	2	3.32		-1	1	1	true				
small molecule	DB02571	2-Amino-6-Oxo-Hexanoic Acid	-2.2	-0.47	4.94e+01 g/l	145.1564	80.39	34.96	14.58	5	4	2	2.25	9.33	0	0	1	true				
small molecule	DB02572	BV4	1.04	-4.2	1.02e-01 g/l	1794.9032	636.02	451.36	197.31	64	39	17	12.01	8.63	4	8	0					
small molecule	DB02573	2'-Deoxycytidine-2'-Deoxyadenosine-3',5'-Monophosphate	-2.3	-2.4	2.42e+00 g/l	540.4238	242.99	121.81	50.25	8	13	5	1.86	5	-1	5	0					
small molecule	DB02574	BV2	-0.03	-3.2	6.91e-01 g/l	1198.2335	464.24	294.25	125.99	32	25	13	12.01	8.88	3	6	0					
small molecule	DB02576	F-Loop of Vitamin B12	-2.7	-0.05	9.99e+01 g/l	76.1176	47.87	31.92	8.77	1	1	2	15.3	9.6	1	0	1	true		-0.96	9.94 (at 10 °C)	
small molecule	DB02577	Mesoheme	0.29	-5.6	1.61e-03 g/l	616.487	92.22	169.77	69.61	8	4	2	3.28		0	8	1					
small molecule	DB02578	Glycyl-L-Alpha-Amino-Epsilon-Pimelyl-D-Alanyl-D-Alanine	-1.6	-2.5	1.33e+00 g/l	374.3895	192.37	110.02	37.33	12	7	5	3.2	8.14	-1	0	1	true				
small molecule	DB02579	Acrylic Acid	0.46	0.23	1.23e+02 g/l	72.0627	37.3	17.29	6.38	1	2	1	4.72		-1	0	1	true		0.35	4.26 (at 25 °C)	
small molecule	DB02580	1-(2-Methoxy-Ethoxy)-2-{2-[2-(2-Methoxy-Ethoxy]-Ethoxy}-Ethane	-0.12	-2.1	2.13e+00 g/l	266.3312	55.38	68.23	31.57	15	6	0		-3.4	0	0	1	true				
small molecule	DB02581	5-[2,3-Dichloro-4-(5-{1-[2-(2-Guanidino-4-Methyl-Pentanoylamino)-Acetyl]-Piperidin-4-Yl}-1-Methyl-1h-Pyrazol-3-Yl)-Phenoxymethyl]-Furan-2-Carboxylic Acid	3.38	-4	7.18e-02 g/l	662.564	188.8	189.92	68.46	12	9	5	3.13	11.36	0	4	0					
small molecule	DB02582	D-(L-a-Aminoadipoyl)-L-Cysteinyl-D-Isodehydrovaline	-1.8	-2.6	8.19e-01 g/l	361.414	158.82	86.91	36.11	11	7	6	1.94	9.15	-1	0	0					
small molecule	DB02583	N6-(2,5-Dimethoxy-Benzyl)-N6-Methyl-Pyrido[2,3-D]Pyrimidine-2,4,6-Triamine	2.14	-3	3.53e-01 g/l	340.3797	112.41	99.84	36.41	5	8	2	16.08	4.3	0	3	1	true				
small molecule	DB02585	4-(Hydroxymethyl)Benzamidine	-0.18	-2.1	1.18e+00 g/l	150.1778	70.1	54.55	15.95	2	3	3	14.97	11.47	1	1	1	true				
small molecule	DB02586	4,7-Dimethyl-[1,10]Phenanthroline	3.27	-3.9	2.48e-02 g/l	208.2585	25.78	63.98	23.5	0	2	0		5.59	0	3	1	true				
small molecule	DB02587	Forskolin	1.28	-2.6	1.10e+00 g/l	410.5012	113.29	104.47	43.33	3	6	3	11.57	-3	0	3	1	true				
small molecule	DB02588	Moxalactam Derivative	0.81	-2.3	2.13e+00 g/l	406.3435	162.7	94.37	37.65	6	9	4	3.02	-4	-2	3	1	true				
small molecule	DB02589	Se-Ethyl-Isoselenourea	-0.25	-1.4	6.60e+00 g/l	151.07	49.87	45.1	10.34	2	2	2		9.71	1	0	1	true				
small molecule	DB02590	Abequose	-1.7	0.76	8.48e+02 g/l	148.1571	69.92	33.28	14.5	0	4	3	11.43	-3.2	0	1	1	true				
small molecule	DB02591	5,6-Dimethylbenzimidazole	1.88	-1.9	2.08e+00 g/l	145.1812	25.78	44.17	16.1	0	2	0		2.68	0	2	1	true		2.35		
small molecule	DB02592	Carbaphosphonate	-2.7	-0.81	4.21e+01 g/l	270.1737	155.52	53.73	22.75	3	8	6	1.8	-3.2	-2	1	1					
small molecule	DB02593	7,8-Dihydroxy-1-Methoxy-3-Methyl-10-Oxo-4,10-Dihydro-1h,3h-Pyrano[4,3-B]Chromene-9-Carboxylic Acid	1.36	-2.4	1.27e+00 g/l	322.2669	122.52	77.56	30.56	2	8	3	2.25	-4	-2	3	1	true				
small molecule	DB02594	2'-Deoxycytidine	-1.9	-1.2	1.59e+01 g/l	227.2172	108.38	53.03	21.54	2	6	3	13.89	-0.0012	0	2	1	true		-1.77		
small molecule	DB02595	Bulgecin A	-1.3	-2	5.61e+00 g/l	552.551	271.93	121.67	49.97	11	13	8	-1.9	8.56	-1	2	0					
small molecule	DB02596	Alpha,Beta-Methyleneadenosine-5'-Triphosphate	-1.1	-2.1	4.29e+00 g/l	505.2082	269.9	98.17	39.43	8	14	7	1.03	4.99	-3	3	0					
small molecule	DB02597	[2(R,S)-2-Sulfanylheptanoyl]-Phe-Ala	3.23	-4.6	1.04e-02 g/l	380.502	95.5	102.51	41.19	11	4	4	3.83	-3.4	-1	1	1	true				
small molecule	DB02598	N-Alpha-Acetyl-3,5-Diiodotyrosylglycine	2.56	-3.5	1.53e-01 g/l	532.0696	115.73	96.07	38.27	6	5	4	2.54	-1.4	-1	1	1					
small molecule	DB02599	2,6-Diamino-8-Propylsulfanylmethyl-3h-Quinazoline-4-One	1.34	-2.8	4.35e-01 g/l	264.347	93.5	77.71	28.69	4	4	3	11.4	5.87	0	2	1	true				
small molecule	DB02600	5-N-Acetyl-3-(1-Ethylpropyl)-1-Cyclohexene-1-Carboxylic Acid	-1.3	-2	3.15e+00 g/l	284.3514	101.65	74.69	30.35	6	5	3	4.38	9.33	0	1	1	true				
small molecule	DB02601	4-Hydroxyphenylglycine	-2.4	-1.4	7.44e+00 g/l	167.162	83.55	42.34	16.18	2	4	3	1.74	8.75	0	1	1	true				
small molecule	DB02602	AL7182	1.17	-3.3	2.06e-01 g/l	374.456	106.77	85.14	36.25	3	5	1	8.18	-4.8	0	3	1	true				
small molecule	DB02603	1-Amino-6-Cyclohex-3-Enylmethyloxypurine	2.55	-2.9	2.88e-01 g/l	246.3082	76.82	70.35	27.29	3	4	2	9.23	5.45	0	3	1	true				
small molecule	DB02604	2-Deoxy-Glucose-6-Phosphate	-2.1	-0.86	3.34e+01 g/l	244.1364	136.68	45.29	20.16	3	7	5	1.22	-3.3	-2	1	1	true				
small molecule	DB02606	2-Butanol	0.66	0.42	1.95e+02 g/l	74.1216	20.23	21.95	9.03	1	1	1	17.69	-1.6	0	0	1	true		0.61	17.6 (at 25 °C)	
small molecule	DB02607	Adenosine Phosphonoacetic Acid	-2.6	-2.1	2.97e+00 g/l	389.2579	203.14	83.34	33.77	6	11	5	1.64	4.99	-1	3	0					
small molecule	DB02608	N-Acetyl-P-Nitrophenylserinol	0.13	-1.9	2.97e+00 g/l	254.2393	115.38	63.22	24.07	5	5	3	12.45	-0.98	0	1	1	true				
small molecule	DB02609	4-Hydroxy-L-Threonine-5-Monophosphate	-2.4	-0.98	2.27e+01 g/l	215.0985	150.31	38.88	16.89	5	7	5	1.31	8.93	-2	0	1	true				
small molecule	DB02610	N-(2,3,4,5,6-Pentaflouro-Benzyl)-4-Sulfamoyl-Benzamide	2.66	-4.4	1.42e-02 g/l	380.29	89.26	77.89	30.26	4	3	2	9.95	-1.3	0	2	1	true				
small molecule	DB02611	Balanol Analog 1	1.37	-3.5	1.04e-01 g/l	370.3991	107.89	99.71	38.6	5	5	4	8.17	9.67	1	3	1	true				
small molecule	DB02613	Decylamine-N,N-Dimethyl-N-Oxide	1.34	-5.5	6.63e-04 g/l	201.3489	26.88	63.51	26.83	9	1	0		4.17	0	0	1	true				
small molecule	DB02614	1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid	0.02	-2.7	4.91e-01 g/l	251.044	106.86	59.67	25.27	5	5	4	4.04	-0.97	-1	1	1	true				
small molecule	DB02615	Compound 19	5.69	-5.4	1.78e-03 g/l	463.588	62.16	132.46	51.15	6	5	2	9.55	9	1	5	1					
small molecule	DB02616	FR117016	3.23	-3.8	5.78e-02 g/l	369.467	118	101.44	39.87	5	6	4	12.4	7.93	1	4	1	true				
small molecule	DB02617	1-(N-Imidazolyl)-2-Hydroxy-2-(2,3-Dichlorophenyl)Octane	4.99	-4.9	4.72e-03 g/l	341.275	38.05	91.66	35.84	8	2	1	13.42	6.77	0	2	1	true				
small molecule	DB02618	Ethyl Dimethyl Ammonio Propane Sulfonate	-1.5	-3	2.54e-01 g/l	195.28	57.2	59.08	20.47	5	3	0	-0.87		0	0	1	true				
small molecule	DB02619	Bromo-Dodecanol	5.28	-5.6	6.23e-04 g/l	265.23	20.23	66.91	29.32	11	1	1	16.84	-2	0	0	1	true				
small molecule	DB02620	Sp7343-Sp7964	0.88	-4	4.50e-02 g/l	469.578	150.38	118.94	47.97	11	7	4	3.74	0.17	-1	2	1	true				
small molecule	DB02621	Latrunculin A	3	-4.3	2.04e-02 g/l	421.55	84.86	115.96	44.78	1	4	2	11.36	-4.4	0	3	1	true				
small molecule	DB02622	2-(Oxalyl-Amino)-Benzoic Acid	0.36	-2.4	9.22e-01 g/l	209.1556	103.7	49.97	18.53	3	5	3	2.11	-6.9	-2	1	1	true				
small molecule	DB02623	Aminophosphonic Acid-Guanylate Ester	-1.5	-2	4.05e+00 g/l	442.2158	254.07	87.9	35.64	6	11	7	0.42	1.59	-2	3	0					
small molecule	DB02624	Homoserine Lactone	-1.4	0.84	6.95e+02 g/l	101.1039	52.32	23.41	9.47	0	2	1		7.33	1	1	1	true				
small molecule	DB02625	(2r)-2-{[Formyl(Hydroxy)Amino]Methyl}Hexanoic Acid	0.38	-1.1	1.64e+01 g/l	189.209	77.84	45.8	19.17	6	4	2	4.4	-5.7	-1	0	1	true				
small molecule	DB02626	Phenylferricrocin-Iron	-5			833.667	296.22	191.17	79.61	14	12	9	7.93	-5.7	0	2	0					
small molecule	DB02627	4,4'-Biphenyldiboronic Acid	1.6	-3.8	4.18e-02 g/l	241.843	80.92	60.29	26.86	3	4	4	8.44	-5.4	0	2	1	true				
small molecule	DB02628	1-[3,3-Dimethyl-2-(2-Methylamino-Propionylamino)-Butyryl]-Pyrrolidine-2-Carboxylic Acid(1,2,3,4-Tetrahydro-Naphthalen-1-Yl)-Amide	2.26	-4.1	3.62e-02 g/l	442.5942	90.54	124.46	49.19	7	4	3	12.54	8.6	1	3	1	true				
small molecule	DB02629	Inhibitor Bea403	2.72	-4.4	2.82e-02 g/l	688.7137	157.58	177.85	70.24	13	8	6	11.05	-3.1	0	6	0					
small molecule	DB02630	L-Xylitol 5-Phosphate	-2.1	-0.91	2.85e+01 g/l	232.1257	147.68	43.31	19.12	6	7	6	1.49	-3	-2	0	1					
small molecule	DB02631	5-Chloro-6-[(2-Iminopyrrolidin-1-Yl)Methyl]Pyrimidine-2,4(1h,3h)-Dione	-0.21	-2.5	7.31e-01 g/l	242.662	85.29	69.89	22.08	2	4	3	7.85	11.55	1	2	1	true				
small molecule	DB02632	1-O-[P-Nitrophenyl]-Beta-D-Galactopyranose	-0.63	-1.3	1.44e+01 g/l	301.2494	145.2	67.51	27.41	4	8	4	12.2	-3	0	2	1	true				
small molecule	DB02633	Cibacron Blue	0.93	-4.7	1.68e-02 g/l	774.157	298.03	185.03	73.04	9	18	7	-5.6	0.78	-3	6	0					
small molecule	DB02635	N-[O-Phosphono-Pyridoxyl]-Isoleucine	-0.15	-2.7	6.91e-01 g/l	362.3154	149.21	85.59	34.72	9	8	5	1.19	10.25	-2	1	1	true				
small molecule	DB02636	9-Hydroxy-8-Methoxy-6-Nitro-Phenanthrol[3,4-D][1,3]Dioxole-5-Carboxylic Acid	2.53	-3.7	7.47e-02 g/l	357.2711	131.04	87.75	33.24	3	8	2	3.32	-4.5	-1	4	1	true				
small molecule	DB02637	Oxaloacetate Ion	-0.53	-0.44	5.42e+01 g/l	131.0636	94.5	35.17	9.68	3	5	1	2.41	-9.9	-2	0	1	true				
small molecule	DB02638	Terlipressin	-1.6	-3.9	1.67e-01 g/l	1227.372	512.85	305.18	123.88	25	17	16	9.43	10.26	2	4	0					
small molecule	DB02639	4-Methylumbelliferyl-Alpha-D-Glucose	-0.34	-1.8	5.11e+00 g/l	338.3093	125.68	79.96	32.79	3	7	4	12.2	-3	0	3	1	true				
small molecule	DB02640	Fumagillin	4.45	-4.8	6.73e-03 g/l	460.5598	105.59	130.34	51.18	11	6	2	4.88	-3	-1	2	1	true				
small molecule	DB02641	Heptanamide	1.81	-1.5	3.79e+00 g/l	129.2001	43.09	37.5	15.7	5	1	1	17.12	-0.58	0	0	1	true				
small molecule	DB02642	[[N-(Benzyloxycarbonyl)Amino]Methyl]Phosphate	0.05	-1.9	2.87e+00 g/l	245.169	95.86	56.18	22.23	5	4	3	1.55		-1	1	1	true				
small molecule	DB02643	N-Dodecyl-N,N-Dimethyl-3-Ammonio-1-Propanesulfonate	0.35	-6.3	1.89e-04 g/l	336.554	54.37	106.13	41.89	15	3	1	-0.8		0	0	1	true				
small molecule	DB02644	N-Omega-Propyl-L-Arginine	0.06	-1.7	4.99e+00 g/l	217.2886	112.97	68.77	24.81	7	5	5	2.29	12.73	1	0	1	true				
small molecule	DB02645	3,4-Epoxybutyl-Alpha-D-Glucopyranoside	-1.9	0.23	4.21e+02 g/l	250.2457	111.91	54.28	24.65	5	7	4	12.21	-3	0	2	1	true				
small molecule	DB02646	Nitrosoethane	0.5	-0.14	4.33e+01 g/l	59.0672	29.43	14.59	5.82	1	1	0	17.84	-1.6	0	0	1	true				
small molecule	DB02647	N-(5-Cyclopropyl-1h-Pyrazol-3-Yl)Benzamide	2.59	-3.1	1.66e-01 g/l	227.2618	57.78	66.52	24.79	3	2	2	11.65	2.55	0	3	1	true				
small molecule	DB02648	(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium	-2.8	-1.5	6.58e+00 g/l	162.2068	57.53	52.65	17.2	4	3	2	4.2	-3.6	0	0	1	true				
small molecule	DB02649	3-Amino-3-Oxopropanoic Acid	-1.6	0.35	2.29e+02 g/l	103.0767	80.39	20.81	8.56	2	3	2	3.66	-5.9	-1	0	1	true				
small molecule	DB02650	Tri-Chloro-Acetaldehyde	1.38	-1.7	3.15e+00 g/l	147.388	17.07	27.23	10.43	1	1	0		-8	0	0	1	true				
small molecule	DB02651	{[2-(1h-1,2,3-Benzotriazol-1-Yl)-2-(3,4-Difluorophenyl)Propane-1,3-Diyl]Bis[4,1-Phenylene(Difluoromethylene)]}Bis(Phosphonic Acid)	3.64	-4.5	2.02e-02 g/l	685.4474	145.77	166.06	57.53	10	8	4	-0.0069	0.47	-3	5	0					
small molecule	DB02652	L-[(N-Hydroxyamino)Carbonyl]Phenylalanine	0.08	-2.2	1.32e+00 g/l	224.2133	98.66	55	21.42	4	4	4	3.8	-4.9	-1	1	1	true				
small molecule	DB02653	Delta-Bis(2,2'-Bipyridine)-(5-Methyl-2-2'-Bipyridine)-C2-Adamantane Ruthenium (Ii)	12.59			1043.02	34.85	265.13	94.58	4	5	1	11.42	6.55	2	14	0					
small molecule	DB02654	6-Hydroxy-Flavin-Adenine Dinucleotide	-1	-2.2	4.66e+00 g/l	801.5491	376.65	179.41	71.77	13	20	10	1.86	4.99	-3	6	0					
small molecule	DB02655	D-Aspartic Acid	-3.5	0.03	1.42e+02 g/l	133.1027	100.62	26.53	11.35	3	5	3	1.7	9.61	-1	0	1	true				
small molecule	DB02656	2-(4-Morpholinyl)-8-Phenyl-4h-1-Benzopyran-4-One	3.46	-3.4	1.27e-01 g/l	307.3432	38.77	98.5	32.75	2	4	0	15.95	3.47	0	4	1	true				
small molecule	DB02657	Glucosamine 6-Phosphate	-2.6	-0.87	3.48e+01 g/l	259.151	162.7	48.45	21.53	3	8	6	1.22	8.23	-1	1	1					
small molecule	DB02658	2,4-Dinitrophenyl 2-Deoxy-2-Fluoro-Beta-D-Allopyranoside	0.38	-2.4	1.48e+00 g/l	348.238	170.79	73.14	28.94	5	9	3	12.53	-3	0	2	1	true				
small molecule	DB02659	Cholic Acid	2.26	-3.7	7.38e-02 g/l	408.5714	97.99	110.79	46.93	4	5	4	4.48	-0.16	-1	4	1	true		2.02	4.98 (at 20 °C)	
small molecule	DB02660	Filaminast	3.22	-4.2	1.92e-02 g/l	292.3303	83.14	77.45	31.22	6	5	1	13.29	1.5	0	2	1	true				
