drugbank_id	name	type	groups	atc_codes	categories	inchikey	inchi	description
DB00345	Aminohippurate	small molecule	approved	V04CH30	Indicators and Reagents|Diagnostic Agents	InChIKey=HSMNQINEKMPTIC-UHFFFAOYSA-N	InChI=1S/C9H10N2O3/c10-7-3-1-6(2-4-7)9(14)11-5-8(12)13/h1-4H,5,10H2,(H,11,14)(H,12,13)	The glycine amide of 4-aminobenzoic acid. Its sodium salt is used as a diagnostic aid to measure effective renal plasma flow (ERPF) and excretory capacity. [PubChem]
DB00346	Alfuzosin	small molecule	approved|investigational	G04CA01	Antihypertensive Agents|Adrenergic alpha-1 Receptor Antagonists	InChIKey=WNMJYKCGWZFFKR-UHFFFAOYSA-N	InChI=1S/C19H27N5O4/c1-24(8-5-7-21-18(25)14-6-4-9-28-14)19-22-13-11-16(27-3)15(26-2)10-12(13)17(20)23-19/h10-11,14H,4-9H2,1-3H3,(H,21,25)(H2,20,22,23)	Alfuzosin (INN, provided as the hydrochloride salt) is an alpha-adrenergic blocker used to treat benign prostatic hyperplasia (BPH). It works by relaxing the muscles in the prostate and bladder neck, making it easier to urinate. [Wikipedia]
DB00347	Trimethadione	small molecule	approved	N03AC02	Anticonvulsants	InChIKey=IRYJRGCIQBGHIV-UHFFFAOYSA-N	InChI=1S/C6H9NO3/c1-6(2)4(8)7(3)5(9)10-6/h1-3H3	An anticonvulsant effective in absence seizures, but generally reserved for refractory cases because of its toxicity. (From AMA Drug Evaluations Annual, 1994, p378)
DB00348	Nitisinone	small molecule	approved|investigational	A16AX04		InChIKey=OUBCNLGXQFSTLU-UHFFFAOYSA-N	InChI=1S/C14H10F3NO5/c15-14(16,17)7-4-5-8(9(6-7)18(22)23)13(21)12-10(19)2-1-3-11(12)20/h4-6,12H,1-3H2	Nitisinone is a synthetic reversible inhibitor of 4-hydroxyphenylpyruvate dioxygenase. It is used in the treatment of hereditary tyrosinemia type 1. It is sold under the brand name Orfadin. [Wikipedia]
DB00349	Clobazam	small molecule	approved|illicit	N05BA09	Anticonvulsants|Benzodiazepines	InChIKey=CXOXHMZGEKVPMT-UHFFFAOYSA-N	InChI=1S/C16H13ClN2O2/c1-18-13-8-7-11(17)9-14(13)19(16(21)10-15(18)20)12-5-3-2-4-6-12/h2-9H,10H2,1H3	Clobazam belongs to the 1,5-benzodiazepine class of drugs and is expected to have a better side-effect profile compared to older 1,4-benzodiazepines. It has been marketed as an anxiolytic since 1975 and an anticonvulsant since 1984. The oral preparation was FDA approved on October 21, 2011. An oral suspension is expected to be available in 2013.
DB00350	Minoxidil	small molecule	approved	C02DC01|D11AX01	Antihypertensive Agents|Vasodilator Agents	InChIKey=ZFMITUMMTDLWHR-UHFFFAOYSA-N	InChI=1S/C9H15N5O/c10-7-6-8(12-9(11)14(7)15)13-4-2-1-3-5-13/h6H,1-5,10H2,(H2,11,12)	A potent direct-acting peripheral vasodilator (vasodilator agents) that reduces peripheral resistance and produces a fall in blood pressure. (From Martindale, The Extra Pharmacopoeia, 30th ed, p371)
DB00351	Megestrol acetate	small molecule	approved	G03DB04|G03AC05|G03DB02|L02AB01	Antineoplastic Agents, Hormonal|Appetite Stimulants	InChIKey=URXWVWVPMJSAJD-KOORYGTMSA-N	InChI=1S/C23H30O4/c1-14(24)23(27-15(2)25)12-9-20-18-6-5-16-13-17(26)7-10-21(16,3)19(18)8-11-22(20,23)4/h5-6,13,18-20H,7-12H2,1-4H3/t18-,19+,20+,21+,22+,23+/m1/s1	17-Hydroxy-6-methylpregna-3,6-diene-3,20-dione. A progestational hormone used most commonly as the acetate ester. As the acetate, it is more potent than progesterone both as a progestagen and as an ovulation inhibitor. It has also been used in the palliative treatment of breast cancer. [PubChem]
DB00352	Tioguanine	small molecule	approved	L01BB03	Antimetabolites, Antineoplastic	InChIKey=WYWHKKSPHMUBEB-UHFFFAOYSA-N	InChI=1S/C5H5N5S/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)	An antineoplastic compound which also has antimetabolite action. The drug is used in the therapy of acute leukemia. [PubChem]
DB00353	Methylergometrine	small molecule	approved	G02AB01	Oxytocics	InChIKey=UNBRKDKAWYKMIV-QWQRMKEZSA-N	InChI=1S/C20H25N3O2/c1-3-14(11-24)22-20(25)13-7-16-15-5-4-6-17-19(15)12(9-21-17)8-18(16)23(2)10-13/h4-7,9,13-14,18,21,24H,3,8,10-11H2,1-2H3,(H,22,25)/t13-,14+,18-/m1/s1	A homolog of ergonovine containing one more CH2 group. (Merck Index, 11th ed)
DB00354	Buclizine	small molecule	approved	R06AE01	Cholinergic Antagonists|Histamine Antagonists	InChIKey=MOYGZHXDRJNJEP-UHFFFAOYSA-N	InChI=1S/C28H33ClN2/c1-28(2,3)25-13-9-22(10-14-25)21-30-17-19-31(20-18-30)27(23-7-5-4-6-8-23)24-11-15-26(29)16-12-24/h4-16,27H,17-21H2,1-3H3	Buclizine is an antihistamine of the piperazine derivative family. [Wikipedia]
DB00355	Aztreonam	small molecule	approved	J01DF01	Anti-Bacterial Agents	InChIKey=WZPBZJONDBGPKJ-VEHQQRBSSA-N	InChI=1S/C13H17N5O8S2/c1-5-7(10(20)18(5)28(23,24)25)16-9(19)8(6-4-27-12(14)15-6)17-26-13(2,3)11(21)22/h4-5,7H,1-3H3,(H2,14,15)(H,16,19)(H,21,22)(H,23,24,25)/b17-8-/t5-,7-/m0/s1	A monocyclic beta-lactam antibiotic originally isolated from Chromobacterium violaceum. It is resistant to beta-lactamases and is used in gram-negative infections, especially of the meninges, bladder, and kidneys. It may cause a superinfection with gram-positive organisms. [PubChem]
DB00356	Chlorzoxazone	small molecule	approved	M03BB03	Muscle Relaxants, Central	InChIKey=TZFWDZFKRBELIQ-UHFFFAOYSA-N	InChI=1S/C7H4ClNO2/c8-4-1-2-6-5(3-4)9-7(10)11-6/h1-3H,(H,9,10)	A centrally acting central muscle relaxant with sedative properties. It is claimed to inhibit muscle spasm by exerting an effect primarily at the level of the spinal cord and subcortical areas of the brain. (From Martindale, The Extra Pharmacopoea, 30th ed, p1202)
DB00357	Aminoglutethimide	small molecule	approved	L02BG01	Antineoplastic Agents, Hormonal|Aromatase Inhibitors	InChIKey=ROBVIMPUHSLWNV-UHFFFAOYSA-N	InChI=1S/C13H16N2O2/c1-2-13(8-7-11(16)15-12(13)17)9-3-5-10(14)6-4-9/h3-6H,2,7-8,14H2,1H3,(H,15,16,17)	"An aromatase inhibitor that produces a state of ""medical"" adrenalectomy by blocking the production of adrenal steroids. It also blocks the conversion of androgens to estrogens. Aminoglutethimide has been used in the treatment of advanced breast and prostate cancer. It was formerly used for its weak anticonvulsant properties. (From Martindale, The Extra Pharmacopoeia, 30th ed, p454)"
DB00358	Mefloquine	small molecule	approved	P01BC02	Antimalarials	InChIKey=XEEQGYMUWCZPDN-UHFFFAOYSA-N	InChI=1S/C17H16F6N2O/c18-16(19,20)11-5-3-4-9-10(15(26)12-6-1-2-7-24-12)8-13(17(21,22)23)25-14(9)11/h3-5,8,12,15,24,26H,1-2,6-7H2	A phospholipid-interacting antimalarial drug (antimalarials).  It is very effective against plasmodium falciparum with very few side effects. [PubChem]
DB00359	Sulfadiazine	small molecule	approved	D06BA01|J01EC02	Antiprotozoal Agents|Anti-Infective Agents|Coccidiostats	InChIKey=SEEPANYCNGTZFQ-UHFFFAOYSA-N	InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14)	One of the short-acting sulfonamides used in combination with pyrimethamine to treat toxoplasmosis in patients with acquired immunodeficiency syndrome and in newborns with congenital infections. [PubChem]
DB00360	Tetrahydrobiopterin	small molecule	approved|investigational	A16AX07	Dietary Supplements|Supplements	InChIKey=FNKQXYHWGSIFBK-UHFFFAOYSA-N	InChI=1S/C9H15N5O3/c1-3(15)6(16)4-2-11-7-5(12-4)8(17)14-9(10)13-7/h3-4,6,12,15-16H,2H2,1H3,(H4,10,11,13,14,17)	Tetrahydrobiopterin or BH4 is a cofactor in the synthesis of nitric oxide. It is also essential in the conversion of phenylalanine to tyrosine by the enzyme phenylalanine-4-hydroxylase; the conversion of tyrosine to L-dopa by the enzyme tyrosine hydroxylase; and conversion of tryptophan to 5-hydroxytryptophan via tryptophan hydroxylase. [Wikipedia]
DB00361	Vinorelbine	small molecule	approved|investigational	L01CA04	Antineoplastic Agents, Phytogenic	InChIKey=GBABOYUKABKIAF-GHYRFKGUSA-N	InChI=1S/C45H54N4O8/c1-8-27-19-28-22-44(40(51)55-6,36-30(25-48(23-27)24-28)29-13-10-11-14-33(29)46-36)32-20-31-34(21-35(32)54-5)47(4)38-43(31)16-18-49-17-12-15-42(9-2,37(43)49)39(57-26(3)50)45(38,53)41(52)56-7/h10-15,19-21,28,37-39,46,53H,8-9,16-18,22-25H2,1-7H3/t28-,37-,38+,39+,42+,43+,44-,45+/m0/s1	Vinorelbine (Navelbine&reg;) is an anti-mitotic chemotherapy drug that is given as a treatment for some types of cancer, including breast cancer and non-small cell lung cancer. [Wikipedia]
DB00362	Anidulafungin	small molecule	approved|investigational	J02AX06	Antifungal Agents	InChIKey=JHVAMHSQVVQIOT-MFAJLEFUSA-N	InChI=1S/C58H73N7O17/c1-5-6-7-24-82-40-22-18-35(19-23-40)33-10-8-32(9-11-33)34-12-14-37(15-13-34)51(74)59-41-26-43(70)54(77)63-56(79)47-48(71)29(2)27-65(47)58(81)45(31(4)67)61-55(78)46(50(73)49(72)36-16-20-38(68)21-17-36)62-53(76)42-25-39(69)28-64(42)57(80)44(30(3)66)60-52(41)75/h8-23,29-31,39,41-50,54,66-73,77H,5-7,24-28H2,1-4H3,(H,59,74)(H,60,75)(H,61,78)(H,62,76)(H,63,79)/t29-,30+,31+,39+,41-,42-,43+,44-,45-,46-,47-,48-,49-,50-,54+/m0/s1	Anidulafungin or Eraxis is an anti-fungal drug manufactured by Pfizer that gained approval by the Food and Drug Administration (FDA) in February 21, 2006; it was previously known as LY303366. There is preliminary evidence that it has a similar safety profile to caspofungin. [Wikipedia]
DB00363	Clozapine	small molecule	approved	N05AH02	Antipsychotic Agents|Serotonin Antagonists|GABA Antagonists	InChIKey=QZUDBNBUXVUHMW-UHFFFAOYSA-N	InChI=1S/C18H19ClN4/c1-22-8-10-23(11-9-22)18-14-4-2-3-5-15(14)20-16-7-6-13(19)12-17(16)21-18/h2-7,12,20H,8-11H2,1H3	A tricylic dibenzodiazepine, classified as an atypical antipsychotic agent. It binds several types of central nervous system receptors, and displays a unique pharmacological profile. Clozapine is a serotonin antagonist, with strong binding to 5-HT 2A/2C receptor subtype. It also displays strong affinity to several dopaminergic receptors, but shows only weak antagonism at the dopamine D2 receptor, a receptor commonly thought to modulate neuroleptic activity. Agranulocytosis is a major adverse effect associated with administration of this agent. [PubChem]
DB00364	Sucralfate	small molecule	approved	A02BX02		InChIKey=MNQYNQBOVCBZIQ-JQOFMKNESA-A	InChI=1S/C11H20O35S8.8Al.16H2O/c12-47(13,14)36-1-3-4(41-49(18,19)20)5(42-50(21,22)23)6(43-51(24,25)26)9(38-3)39-11(2-37-48(15,16)17)8(45-53(30,31)32)7(44-52(27,28)29)10(40-11)46-54(33,34)35;;;;;;;;;;;;;;;;;;;;;;;;/h3-10H,1-2H2,(H,12,13,14)(H,15,16,17)(H,18,19,20)(H,21,22,23)(H,24,25,26)(H,27,28,29)(H,30,31,32)(H,33,34,35);;;;;;;;;16*1H2/q;8*+3;;;;;;;;;;;;;;;;/p-24/t3-,4-,5+,6-,7+,8+,9+,10-,11-;;;;;;;;;;;;;;;;;;;;;;;;/m1......................../s1	A basic aluminum complex of sulfated sucrose. [PubChem]
DB00365	Grepafloxacin	small molecule	withdrawn	J01MA11	Anti-Infective Agents|Quinolones|Antibiotics	InChIKey=AIJTTZAVMXIJGM-UHFFFAOYSA-N	InChI=1S/C19H22FN3O3/c1-10-8-22(6-5-21-10)15-7-14-16(11(2)17(15)20)18(24)13(19(25)26)9-23(14)12-3-4-12/h7,9-10,12,21H,3-6,8H2,1-2H3,(H,25,26)	Grepafloxacin is an oral broad-spectrum quinoline antibacterial agent used to treat bacterial infections. Grepafloxacin was withdrawn in the United States due to its side effect of lengthening the QT interval on the electrocardiogram, leading to cardiac events and sudden death. [Wikipedia]
DB00366	Doxylamine	small molecule	approved	R06AA09	Histamine H1 Antagonists|Antiemetics	InChIKey=HCFDWZZGGLSKEP-UHFFFAOYSA-N	InChI=1S/C17H22N2O/c1-17(20-14-13-19(2)3,15-9-5-4-6-10-15)16-11-7-8-12-18-16/h4-12H,13-14H2,1-3H3	Histamine H1 antagonist with pronounced sedative properties. It is used in allergies and as an antitussive, antiemetic, and hypnotic. Doxylamine has also been administered in veterinary applications and was formerly used in parkinsonism. [PubChem]
DB00367	Levonorgestrel	small molecule	approved|investigational	G03AC03|G03AD01	Contraceptives, Oral, Synthetic|Contraceptive Agents, Female|Contraceptive Agents	InChIKey=WWYNJERNGUHSAO-XUDSTZEESA-N	InChI=1S/C21H28O2/c1-3-20-11-9-17-16-8-6-15(22)13-14(16)5-7-18(17)19(20)10-12-21(20,23)4-2/h2,13,16-19,23H,3,5-12H2,1H3/t16-,17+,18+,19-,20-,21-/m0/s1	A synthetic progestational hormone with actions similar to those of progesterone and about twice as potent as its racemic or (+-)-isomer (norgestrel). It is used for contraception, control of menstrual disorders, and treatment of endometriosis. It is usually supplied in a racemic mixture (Norgestrel, 6533-00-2). Only the levonorgestrel isomer is active. Levonorgestrel is marketed mostly as a combination oral contraceptive under several brand names such as Alesse, Triphasil, and Min-Ovral. 
DB00368	Norepinephrine	small molecule	approved	C01CA03	Vasoconstrictor Agents|Sympathomimetics|Adrenergic alpha-Agonists	InChIKey=SFLSHLFXELFNJZ-QMMMGPOBSA-N	InChI=1S/C8H11NO3/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8,10-12H,4,9H2/t8-/m0/s1	Precursor of epinephrine that is secreted by the adrenal medulla and is a widespread central and autonomic neurotransmitter. Norepinephrine is the principal transmitter of most postganglionic sympathetic fibers and of the diffuse projection system in the brain arising from the locus ceruleus. It is also found in plants and is used pharmacologically as a sympathomimetic. [PubChem]
DB00369	Cidofovir	small molecule	approved	J05AB12	Antineoplastic Agents|Antiviral Agents|Anti-HIV Agents|Radiation-Sensitizing Agents	InChIKey=VWFCHDSQECPREK-LURJTMIESA-N	InChI=1S/C8H14N3O6P/c9-7-1-2-11(8(13)10-7)3-6(4-12)17-5-18(14,15)16/h1-2,6,12H,3-5H2,(H2,9,10,13)(H2,14,15,16)/t6-/m0/s1	Cidofovir is an injectable antiviral medication for the treatment of cytomegalovirus (CMV) retinitis in patients with AIDS. It suppresses CMV replication by selective inhibition of viral DNA synthesis. [Wikipedia]
DB00370	Mirtazapine	small molecule	approved	N06AX11	Histamine H1 Antagonists|Antidepressive Agents, Tricyclic|Adrenergic alpha-Antagonists	InChIKey=RONZAEMNMFQXRA-UHFFFAOYSA-N	InChI=1S/C17H19N3/c1-19-9-10-20-16(12-19)15-7-3-2-5-13(15)11-14-6-4-8-18-17(14)20/h2-8,16H,9-12H2,1H3	Mirtazapine is an antidepressant introduced by Organon International in 1996 used for the treatment of moderate to severe depression. Mirtazapine has a tetracyclic chemical structure and is classified as a noradrenergic and specific serotonergic antidepressant (NaSSA). It is the only tetracyclic antidepressant that has been approved by the Food and Drug Administration to treat depression. [Wikipedia]
DB00371	Meprobamate	small molecule	approved|illicit	N05BC01	Anti-Anxiety Agents|Hypnotics and Sedatives|Anticonvulsants|Muscle Relaxants, Central	InChIKey=NPPQSCRMBWNHMW-UHFFFAOYSA-N	InChI=1S/C9H18N2O4/c1-3-4-9(2,5-14-7(10)12)6-15-8(11)13/h3-6H2,1-2H3,(H2,10,12)(H2,11,13)	A carbamate with hypnotic, sedative, and some muscle relaxant properties, although in therapeutic doses reduction of anxiety rather than a direct effect may be responsible for muscle relaxation. Meprobamate has been reported to have anticonvulsant actions against petit mal seizures, but not against grand mal seizures (which may be exacerbated). It is used in the treatment of anxiety disorders, and also for the short-term management of insomnia but has largely been superseded by the benzodiazepines. (From Martindale, The Extra Pharmacopoeia, 30th ed, p603) Meprobamate is a controlled substance in the U.S.
DB00372	Thiethylperazine	small molecule	withdrawn	R06AD03	Antiemetics|Dopamine Antagonists	InChIKey=XCTYLCDETUVOIP-UHFFFAOYSA-N	InChI=1S/C22H29N3S2/c1-3-26-18-9-10-22-20(17-18)25(19-7-4-5-8-21(19)27-22)12-6-11-24-15-13-23(2)14-16-24/h4-5,7-10,17H,3,6,11-16H2,1-2H3	A dopamine antagonist that is particularly useful in treating the nausea and vomiting associated with anesthesia, mildly emetic cancer chemotherapy agents, radiation therapy, and toxins. This piperazine phenothiazine does not prevent vertigo or motion sickness. (From AMA Drug Evaluations Annual, 1994, p457)
DB00373	Timolol	small molecule	approved	C07AA06|S01ED01	Antihypertensive Agents|Anti-Arrhythmia Agents|Adrenergic beta-Antagonists	InChIKey=BLJRIMJGRPQVNF-UHFFFAOYSA-N	InChI=1S/C13H24N4O3S/c1-13(2,3)14-8-10(18)9-20-12-11(15-21-16-12)17-4-6-19-7-5-17/h10,14,18H,4-9H2,1-3H3	A beta-adrenergic antagonist similar in action to propranolol. The levo-isomer is the more active. Timolol has been proposed as an antihypertensive, antiarrhythmic, antiangina, and antiglaucoma agent. It is also used in the treatment of migraine disorders and tremor. [PubChem]
DB00374	Treprostinil	small molecule	approved|investigational	B01AC21	Antithrombins|Anticoagulants	InChIKey=PAJMKGZZBBTTOY-ZFORQUDYSA-N	InChI=1S/C23H34O5/c1-2-3-4-7-17(24)9-10-18-19-11-15-6-5-8-22(28-14-23(26)27)20(15)12-16(19)13-21(18)25/h5-6,8,16-19,21,24-25H,2-4,7,9-14H2,1H3,(H,26,27)/t16-,17-,18+,19-,21+/m0/s1	Treprostinil is a synthetic analogue of prostacyclin, used to treat pulmonary hypertension. Treprostinil is marketed as Remodulin&reg;. [Wikipedia]
DB00375	Colestipol	small molecule	approved	C10AC02	Anion Exchange Resins|Hypolipidemic Agents	InChIKey=GMRWGQCZJGVHKL-UHFFFAOYSA-N	InChI=1S/C8H23N5.C3H5ClO/c9-1-3-11-5-7-13-8-6-12-4-2-10;4-1-3-2-5-3/h11-13H,1-10H2;3H,1-2H2	Highly crosslinked and insoluble basic anion exchange resin used as anticholesteremic. It may also may reduce triglyceride levels. [PubChem]
DB00376	Trihexyphenidyl	small molecule	approved	N04AA01	Antiparkinson Agents|Muscarinic Antagonists|Antidyskinetics	InChIKey=HWHLPVGTWGOCJO-UHFFFAOYSA-N	InChI=1S/C20H31NO/c22-20(18-10-4-1-5-11-18,19-12-6-2-7-13-19)14-17-21-15-8-3-9-16-21/h1,4-5,10-11,19,22H,2-3,6-9,12-17H2	One of the centrally acting muscarinic antagonists used for treatment of parkinsonian disorders and drug-induced extrapyramidal movement disorders and as an antispasmodic. [PubChem]
DB00377	Palonosetron	small molecule	approved|investigational	A04AA05		InChIKey=CPZBLNMUGSZIPR-DOTOQJQBSA-N	InChI=1S/C19H24N2O/c22-19-16-6-2-4-14-3-1-5-15(18(14)16)11-21(19)17-12-20-9-7-13(17)8-10-20/h2,4,6,13,15,17H,1,3,5,7-12H2/t15-,17+/m0/s1	Palonosetron (INN, trade name Aloxi) is a 5-HT3 antagonist used in the prevention and treatment of chemotherapy-induced nausea and vomiting (CINV). It is the most effective of the 5-HT3 antagonists in controlling delayed CINV nausea and vomiting that appear more than 24 hours after the first dose of a course of chemotherapy and is the only drug of its class approved for this use by the U.S. Food and Drug Administration. As of 2008, it is the most recent 5-HT3 antagonist to enter clinical use. [wikipedia]
DB00378	Dydrogesterone	small molecule	approved|withdrawn	G03DB01	Progestins|Progesterones	InChIKey=JGMOKGBVKVMRFX-HQZYFCCVSA-N	InChI=1S/C21H28O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h4-5,12,16-19H,6-11H2,1-3H3/t16-,17+,18-,19+,20+,21+/m0/s1	A synthetic progestational hormone with no androgenic or estrogenic properties. Unlike many other progestational compounds, dydrogesterone produces no increase in temperature and does not inhibit ovulation. [PubChem]
DB00379	Mexiletine	small molecule	approved	C01BB02	Anti-Arrhythmia Agents|Voltage-Gated Sodium Channel Blockers	InChIKey=VLPIATFUUWWMKC-UHFFFAOYSA-N	InChI=1S/C11H17NO/c1-8-5-4-6-9(2)11(8)13-7-10(3)12/h4-6,10H,7,12H2,1-3H3	Antiarrhythmic agent pharmacologically similar to lidocaine. It may have some anticonvulsant properties. [PubChem]
DB00380	Dexrazoxane	small molecule	approved|withdrawn	V03AF02	Antineoplastic Agents|Chelating Agents|Cardiovascular Agents	InChIKey=BMKDZUISNHGIBY-ZETCQYMHSA-N	InChI=1S/C11H16N4O4/c1-7(15-5-10(18)13-11(19)6-15)2-14-3-8(16)12-9(17)4-14/h7H,2-6H2,1H3,(H,12,16,17)(H,13,18,19)/t7-/m0/s1	"An antimitotic agent with immunosuppressive properties. Dexrazoxane, the (+)-enantiomorph of razoxane, provides cardioprotection against anthracycline toxicity. It appears to inhibit formation of a toxic iron-anthracycline complex. [PubChem]
The Food and Drug Administration has designated dexrazoxane as an orphan drug for use in the prevention or reduction in the incidence and severity of anthracycline-induced cardiomyopathy."
DB00381	Amlodipine	small molecule	approved	C08CA01	Antihypertensive Agents|Vasodilator Agents|Calcium Channel Blockers|Antianginal Agents	InChIKey=HTIQEAQVCYTUBX-UHFFFAOYSA-N	InChI=1S/C20H25ClN2O5/c1-4-28-20(25)18-15(11-27-10-9-22)23-12(2)16(19(24)26-3)17(18)13-7-5-6-8-14(13)21/h5-8,17,23H,4,9-11,22H2,1-3H3	Amlodipine is a long-acting 1,4-dihydropyridine calcium channel blocker. It acts primarily on vascular smooth muscle cells by stabilizing voltage-gated L-type calcium channels in their inactive conformation. By inhibiting the influx of calcium in smooth muscle cells, amlodipine prevents calcium-dependent myocyte contraction and vasoconstriction. A second proposed mechanism for the drug’s vasodilatory effects involves pH-dependent inhibition of calcium influx via inhibition of smooth muscle carbonic anhydrase. Some studies have shown that amlodipine also exerts inhibitory effects on voltage-gated N-type calcium channels. N-type calcium channels located in the central nervous system may be involved in nociceptive signaling and pain sensation. Amlodipine is used to treat hypertension and chronic stable angina. 
DB00382	Tacrine	small molecule	withdrawn	N06AA18|N06DA01	Nootropic Agents|Cholinesterase Inhibitors|Parasympathomimetics	InChIKey=YLJREFDVOIBQDA-UHFFFAOYSA-N	InChI=1S/C13H14N2/c14-13-9-5-1-3-7-11(9)15-12-8-4-2-6-10(12)13/h1,3,5,7H,2,4,6,8H2,(H2,14,15)	A centerally active cholinesterase inhibitor that has been used to counter the effects of muscle relaxants, as a respiratory stimulant, and in the treatment of Alzheimer's disease and other central nervous system disorders. Tacrine has been discontinued for the United States market. 
DB00383	Oxyphencyclimine	small molecule	approved	A03AA01	Cholinergic Antagonists|Antispasmodics	InChIKey=DUDKAZCAISNGQN-UHFFFAOYSA-N	InChI=1S/C20H28N2O3/c1-22-14-8-13-21-18(22)15-25-19(23)20(24,16-9-4-2-5-10-16)17-11-6-3-7-12-17/h2,4-5,9-10,17,24H,3,6-8,11-15H2,1H3	Oxyphencyclimine is an anticholinergic drug (trade name Daricon) used in treating peptic ulcers.
DB00384	Triamterene	small molecule	approved	C03DB02	Diuretics|Epithelial Sodium Channel Blockers	InChIKey=FNYLWPVRPXGIIP-UHFFFAOYSA-N	InChI=1S/C12H11N7/c13-9-7(6-4-2-1-3-5-6)16-8-10(14)18-12(15)19-11(8)17-9/h1-5H,(H6,13,14,15,17,18,19)	A pteridine that is used as a mild diuretic. [PubChem]
DB00385	Valrubicin	small molecule	approved	L01DB09		InChIKey=ZOCKGBMQLCSHFP-ZQUOIQDWSA-N	InChI=1S/C34H36F3NO13/c1-4-5-9-21(40)49-13-20(39)33(47)11-16-24(19(12-33)51-22-10-17(27(41)14(2)50-22)38-32(46)34(35,36)37)31(45)26-25(29(16)43)28(42)15-7-6-8-18(48-3)23(15)30(26)44/h6-8,14,17,19,22,27,41,43,45,47H,4-5,9-13H2,1-3H3,(H,38,46)/t14?,17?,19-,22?,27?,33-/m0/s1	Valrubicin (N-trifluoroacetyladriamycin-14-valerate, Valstar&reg;) is a chemotherapy drug used to treat bladder cancer. Valrubicin is a semisynthetic analog of the anthracycline doxorubicin, and is administered by infusion directly into the bladder. [Wikipedia]
DB00386	Alseroxylon	small molecule	withdrawn					A fat-soluble alkaloidal fraction extracted from the root of <i>Rauwolfia serpentina</i>, containing reserpine and other nonadrenolytic amorphous alkaloids; used as a sedative in psychoses, in mild hypertension, and as an adjunct to more potent hypotensive drugs. Alseroxylon has been discontinued in the US market. 
DB00387	Procyclidine	small molecule	approved	N04AA04	Antiparkinson Agents|Muscarinic Antagonists|Antidyskinetics	InChIKey=WYDUSKDSKCASEF-UHFFFAOYSA-N	InChI=1S/C19H29NO/c21-19(17-9-3-1-4-10-17,18-11-5-2-6-12-18)13-16-20-14-7-8-15-20/h1,3-4,9-10,18,21H,2,5-8,11-16H2	A muscarinic antagonist that crosses the blood-brain barrier and is used in the treatment of drug-induced extrapyramidal disorders and in parkinsonism. [PubChem]
DB00388	Phenylephrine	small molecule	approved	C01CA06|R01AA04|R01AB01|R01BA03|S01FB01|S01GA05|C05AX03	Vasoconstrictor Agents|Sympathomimetics|Adrenergic alpha-1 Receptor Agonists|Cardiotonic Agents|Mydriatics|Nasal Decongestants	InChIKey=SONNWYBIRXJNDC-VIFPVBQESA-N	InChI=1S/C9H13NO2/c1-10-6-9(12)7-3-2-4-8(11)5-7/h2-5,9-12H,6H2,1H3/t9-/m0/s1	Phenylephrine is a sympathomimetic amine that acts predominantly on &alpha;-adrenergic receptors. It is mainly used to treat nasal congestion, but may also be useful in treating hypotension and shock, hypotension during spinal anaesthesia, prolongation of spinal anaesthesia, paroxysmal supraventricular tachycardia, symptomatic relief of external or internal hemorrhoids, and to increase blood pressure as an aid in the diagnosis of heart murmurs. 
DB00389	Carbimazole	small molecule	approved	H03BB01	Antithyroid Agents	InChIKey=CFOYWRHIYXMDOT-UHFFFAOYSA-N	InChI=1S/C7H10N2O2S/c1-3-11-7(10)9-5-4-8(2)6(9)12/h4-5H,3H2,1-2H3	An imidazole antithyroid agent. Carbimazole is metabolized to methimazole, which is responsible for the antithyroid activity. [PubChem]
DB00390	Digoxin	small molecule	approved	C01AA02|C01AA05|C01AA08	Enzyme Inhibitors|Anti-Arrhythmia Agents|Cardiotonic Agents	InChIKey=LTMHDMANZUZIPE-PUGKRICDSA-N	InChI=1S/C41H64O14/c1-19-36(47)28(42)15-34(50-19)54-38-21(3)52-35(17-30(38)44)55-37-20(2)51-33(16-29(37)43)53-24-8-10-39(4)23(13-24)6-7-26-27(39)14-31(45)40(5)25(9-11-41(26,40)48)22-12-32(46)49-18-22/h12,19-21,23-31,33-38,42-45,47-48H,6-11,13-18H2,1-5H3/t19-,20-,21-,23-,24+,25-,26-,27+,28+,29+,30+,31-,33+,34+,35+,36-,37-,38-,39+,40+,41+/m1/s1	A cardiotonic glycoside obtained mainly from Digitalis lanata; it consists of three sugars and the aglycone digoxigenin. Digoxin has positive inotropic and negative chronotropic activity. It is used to control ventricular rate in atrial fibrillation and in the management of congestive heart failure with atrial fibrillation. Its use in congestive heart failure and sinus rhythm is less certain. The margin between toxic and therapeutic doses is small. (From Martindale, The Extra Pharmacopoeia, 30th ed, p666)
